Group,Area,area_microns
yPET / Acute Mad2,3090,19204.47483
yPET / Acute Mad2,11162,69372.28092
yPET / Acute Mad2,1146819,7127526.414
yPET / Acute Mad2,48473,301261.6532
yPET / Acute Mad2,27153,168756.9919
yPET / Acute Mad2,1811729,11259968.92
yPET / Acute Mad2,273766,1701466.75
yPET / Acute Mad2,122399,760714.7296
yPET / Acute Mad2,1870128,11622921.07
yPET / Acute Mad2,3284031,20410385.33
yPET / Acute Mad2,12564878,78091224.36
yPET / Acute Mad2,3079170,19137165.94
yPET / Acute Mad2,346997,2156600.373
yPET / Acute Mad2,1997278,12413163.46
yPET / Acute Mad2,720142,4475711.622
yPET / Acute Mad2,4215445,26199160.97
yPET / Acute Mad2,201655,1253293.971
yPET / Acute Mad2,59597,370397.7626
yPET / Acute Mad2,871856,5418620.261
yPET / Acute Mad2,788235,4898912.368
yPET / tDT,51138,317824.7359
yPET / tDT,1996969,12411243.01
yPET / tDT,7957,49453.07644
yPET / tDT,363875,2261497.825
yPET / tDT,1136816,7065357.365
yPET / tDT,239815,1490459.913
yPET / tDT,94551,587638.2846
yPET / tDT,315595,1961435.674
yPET / tDT,3399,21124.92231
yPET / tDT,89105,553791.1746
yPET / tDT,731961,4549167.185
yPET / tDT,817242,5079192.045
yPET / tDT,268899,1671218.148
yPET / tDT,26998,167793.6607
yPET / tDT,33410,207644.4997
yPET / tDT,97873,608284.6489
yPET / tDT,2020375,12556712.24
yPET / tDT,2441063,15171305.16
yPET / tDT,383882,2385842.138
yPET / tDT,483995,3008048.477
yPET / tDT,2021956,12566538.22
yPET / tDT,7386379,45906643.88
yPET / Chronic Mad2,7042202,43767569.92
yPET / Chronic Mad2,2359220,14662647.61
yPET / Chronic Mad2,609947,3790845.245
yPET / Chronic Mad2,1965682,12216793.04
yPET / Chronic Mad2,5750390,35738906.15
yPET / Chronic Mad2,8757138,54425966.44
yPET / Chronic Mad2,7095966,44101715.35
yPET / Chronic Mad2,1840386,11438073.34
yPET / Chronic Mad2,8486771,52745624.61
yPET / Chronic Mad2,943966,5866786.824
yPET / Chronic Mad2,12542503,77952162.83
yPET / Chronic Mad2,23464544,145833088.9
yPET / Chronic Mad2,7066187,43916637.66
yPET / Chronic Mad2,13287904,82584860.16
yPET / Chronic Mad2,6103528,37933673.09
yPET / Chronic Mad2,14117543,87741100.06
yPET / Chronic Mad2,10858312,67484847.73
yPET / Chronic Mad2,222705,1384120.572
yPET / Chronic Mad2,8712458,54148278.43
yPET / Chronic Mad2,4132211,25681858.3
yPET / Chronic Mad2,110850,688937.2281
yPET / Chronic Mad2,21591194,134190142.9
yPET / Chronic Mad2,26080791,162093169.7
yPET / Chronic Mad2,9243884,57451112.49
yPET / Chronic Mad2,773558,4807694.22
yPET / Chronic Mad2,658652,4093548.788
yPET / Chronic Mad2,645984,4014816.656
yPET / Chronic Mad2,2241226,13929310.13
yPET / Chronic Mad2,29373667,182558527
yPET / Chronic Mad2,623389,3874387.819
